feedback_id,feedback_text,sentiment_label,department,feedback_source,rating_score,intern_experience,program_duration,would_recommend,timestamp
FB_00556,I walked away with skills and confidence I lacked before. The projects I worked on were real and made a tangible difference. I am a better professional because of what I learned here.,positive,Product,online_form,9.6,first_internship,6 months,True,2023-04-04 11:49:31
FB_03492,My experience here was isolating and professionally unfulfilling. I felt micromanaged to a degree that stifled my creativity and growth. The organization was not ready to host interns and it showed.,negative,HR,mid_term_review,1.3,third_or_more,6 months,False,2023-05-02 18:15:36
FB_00528,This experience has shaped my career goals significantly. The culture of continuous learning here is truly inspiring. This was not just an internship — it was a launchpad for my future.,positive,Engineering,intern_survey,7.3,third_or_more,2 months,True,2024-12-01 14:12:52
FB_03926,"Looking back, I regret choosing this internship program. The projects assigned to me had no clear objectives or deadlines. I would have gained more from an online course than from this program.",negative,Design,intern_survey,1.1,first_internship,2 months,False,2023-12-22 19:01:45
FB_02990,This was not the positive experience I was promised. I felt micromanaged to a degree that stifled my creativity and growth. I expected mentorship and received neglect instead.,negative,Research,mid_term_review,2.1,first_internship,1 month,False,2023-09-08 05:28:11
FB_00071,This was the best internship I have ever had. My contributions were recognized and celebrated by the entire team. I feel fully prepared to enter the workforce thanks to this experience.,positive,Research,exit_interview,8.4,second_internship,3 months,True,2023-05-11 07:48:58
FB_01757,I walked away with skills and confidence I lacked before. Cross-functional collaboration exposed me to many different roles. This company clearly values its interns and it makes a huge difference.,positive,Operations,online_form,9.4,third_or_more,3 months,True,2023-09-08 04:00:24
FB_00212,I felt genuinely valued as an intern here. I had the chance to present my work to senior management. I built friendships here that I know will last a lifetime.,positive,Sales,mid_term_review,9.5,second_internship,2 months,True,2024-05-08 06:19:19
FB_00197,Every day at this company taught me something new. The culture of continuous learning here is truly inspiring. I am proud of everything I accomplished during this program.,positive,Sales,mid_term_review,8.0,first_internship,3 months,True,2024-05-28 08:25:38
FB_00804,I had a fantastic experience working here. Cross-functional collaboration exposed me to many different roles. I would accept a full-time offer here without hesitation.,positive,Marketing,mid_term_review,9.0,first_internship,1 month,True,2024-12-15 15:52:16
FB_03410,I had little to no support throughout the entire program. There was no structured learning plan or development program. Future interns deserve much better than what I experienced here.,negative,Data Science,mid_term_review,2.0,first_internship,6 months,False,2024-03-08 17:40:16
FB_03837,"My internship here was deeply disappointing. The company culture felt rigid, hierarchical, and uninspiring. This program failed to deliver on every promise made during recruitment.",negative,Engineering,exit_interview,2.0,second_internship,6 months,False,2024-04-28 01:00:53
FB_01147,I grew so much professionally during this program. My mentor was incredibly supportive and always available to answer questions. I feel fully prepared to enter the workforce thanks to this experience.,positive,Engineering,intern_survey,7.4,first_internship,3 months,True,2023-04-21 18:55:13
FB_01499,My time here was both fulfilling and educational. The flexible work environment allowed me to be productive and balanced. I built friendships here that I know will last a lifetime.,positive,Engineering,mid_term_review,8.3,second_internship,3 months,True,2024-03-09 11:08:40
FB_03859,I struggled throughout this internship due to poor management. There was significant disconnect between what was promised and delivered. I ended the internship more confused about my career than before.,negative,Sales,intern_survey,3.9,second_internship,1 month,False,2023-09-25 00:31:20
FB_03483,My time here was frustrating and largely unproductive. Management seemed unaware of what interns were supposed to be doing. The organization was not ready to host interns and it showed.,negative,Operations,online_form,3.4,first_internship,2 months,False,2023-03-19 05:21:14
FB_01186,The internship exceeded all my expectations. Leadership genuinely cared about my personal and professional development. I feel fully prepared to enter the workforce thanks to this experience.,positive,Design,online_form,7.6,second_internship,1 month,True,2023-09-04 10:37:06
FB_00472,This internship was an incredible learning experience. I attended meetings that gave me real insight into business strategy. I would accept a full-time offer here without hesitation.,positive,Sales,online_form,9.5,second_internship,2 months,True,2024-06-21 08:25:00
FB_00595,I absolutely loved my time at this company. My contributions were recognized and celebrated by the entire team. Leaving was bittersweet because I truly loved being part of this team.,positive,Sales,mid_term_review,8.6,second_internship,2 months,True,2024-03-16 04:05:09
FB_00322,I grew so much professionally during this program. I built a strong professional network during my time here. This was not just an internship — it was a launchpad for my future.,positive,Data Science,online_form,8.3,second_internship,2 months,True,2024-03-07 00:19:12
FB_01418,I would choose this internship all over again. Cross-functional collaboration exposed me to many different roles. I would accept a full-time offer here without hesitation.,positive,Marketing,exit_interview,8.4,second_internship,3 months,True,2023-10-17 03:51:12
FB_01675,The work I did here was meaningful and impactful. The projects I worked on were real and made a tangible difference. The skills I developed here will benefit me for years to come.,positive,Operations,intern_survey,9.8,first_internship,2 months,True,2023-03-21 10:08:17
FB_03591,I struggled throughout this internship due to poor management. I was given repetitive busywork instead of meaningful assignments. I ended the internship more confused about my career than before.,negative,Engineering,mid_term_review,3.9,third_or_more,6 months,False,2024-12-09 00:46:44
FB_01704,I felt genuinely valued as an intern here. The diverse team helped me see problems from multiple perspectives. I am proud of everything I accomplished during this program.,positive,Research,exit_interview,9.9,first_internship,6 months,True,2023-03-05 11:48:26
FB_02541,The work environment here was toxic and unwelcoming. I was expected to work overtime without any acknowledgment or compensation. This program failed to deliver on every promise made during recruitment.,negative,Data Science,intern_survey,1.5,second_internship,6 months,False,2024-10-17 03:32:38
FB_00206,I felt genuinely valued as an intern here. The company invests heavily in intern development and it shows. This internship has set a high benchmark for my future roles.,positive,Sales,mid_term_review,9.7,first_internship,2 months,True,2024-09-08 11:34:22
